DatGeracaoConjuntoDados;DatRalie;IdeNucleoCEG;CodCEG;SigUFPrincipal;DscOrigemCombustivel;SigTipoGeracao;NomEmpreendimento;MdaPotenciaOutorgadaKw;DscPropriRegimePariticipacao;DscTipoConexao;NomConexao;MdaTensaoConexao;NomEmpresaConexao;NumCnpjEmpresaConexao;DscViabilidade;DscSituacaoObra;DatPrevisaoInicioObra;DatContratoEPCOutorgado;DatRecursoFinanceiroOutorgado;DatCanteiroObraOutorgado;DatCanteiroObraRealizado;DatInicioObraOutorgado;DatInicioObraRealizado;DatConcretagemOutorgado;DatConcretagemRealizado;DatDesvioRioOutorgado;DatDesvioRioRealizado;DatMontagemOutorgado;DatMontagemRealizado;DatConclusaoTorresOutorgado;DatConclusaoTorresRealizado;DatEnchimentoOutorgado;DatEnchimentoRealizado;DatComissionamentoUGRealizado;DatSisTransmissaoOutorgado;DatSisTransmissaoRealizado;DatConclusaoSisTransOutorgado;DatConclusaoSisTransRealizado;DscJustificativaPrevisao;DscComercializacaoEnergia;DscSistema;DatConclusaoTransporteRealizado;DscSituacaoCronograma;DatRapeel;IdcComplexo;NomComplexo;DatEmissaoLP;DatValidadeLP;DscSituacaoLP;DatEmissaoLI;DatValidadeLI;DscSituacaoLI;DatSolicitacaoLO;DatPrevistaEmissaoLO;DatPrevMaxEmissaoLO;DatEmissaoLO;DatValidadeLO;DscSituacaoLO;NomSituacaoParAcesso;DatSolicitacaoParAcesso;DatEmissaoParAcesso;DscSitCCD;DatValidadeCCD;DatAssinaturaCCD;DscSitCCT;DatValidadeCCT;DatAssinaturaCCT;DscSituacaoCusd;DatValidadeCusd;DatAssinaturaCusd;DscSitCust;DatValidadeCust;DatAssinaturaCust;DscAtoOutorga;DscNumeroAto;NomOrgaoOutorgante;DscTipoOutorga;DatEmissaoAto
26/05/2025;22/04/2025;31271;EOL.CV.PI.031271-1.1;PI;Eólica;EOL;Ventos de Santo Adriano;29700; 100% para CENTRAL GERADORA EOLICA COLIBRI S.A (PIE);Subestação;Curral Novo do Piauí II;230;SIMOES TRANSMISSORA DE ENERGIA ELETRICA S.A;3,13269E+13;Baixa;Paralisada;;;;;15/05/2015;02/10/2015;15/05/2015;26/10/2015;01/06/2015;;;28/11/2015;15/07/2016;;;;;21/07/2017;27/11/2015;01/06/2014;;01/05/2016;Paralisação de obras;Fora ACR;Sistema Interligado Nacional;;Atrasado;02/04/2025;S;Complexo Eólico Caldeirão Grande I;18/01/2012;18/01/2013;Válida;;19/09/2020;Solicitada renovação;;03/02/2026;03/03/2026;;;Não Solicitada;Válido;14/08/2015;14/04/2016;Não se Aplica;;;Válido;22/10/2042;11/05/2016;Não se Aplica;;;Válido;21/10/2042;17/04/2014;Resolução;13.079;ANEEL;Autorização;16/11/2022
26/05/2025;22/04/2025;31411;PCH.PH.MT.031411-0.1;MT;Hídrica;PCH;Mutum I;4000; 100% para ARCEZZIL GERAÇÃO DE ENERGIA ELÉTRICA LTDA (PIE);Subestação;Rondonópolis;34,5;ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.;3,46732E+12;Alta;Em andamento;;;;;26/04/2021;;15/02/2022;;24/05/2022;;28/08/2023;;15/07/2023;;;;24/04/2024;;;05/01/2022;;;Estágio das obras da usina;Fora ACR;Sistema Interligado Nacional;;Atrasado;05/04/2025;;;04/12/2014;03/12/2017;Vencida;07/11/2022;06/11/2027;Válida;;01/10/2025;01/11/2025;;;Não Solicitada;Válido;26/04/2024;20/12/2024;Válido;16/12/2025;20/12/2024;Não se Aplica;;;Válido;16/12/2025;20/12/2024;Não se Aplica;;;Resolução;4.571;ANEEL;Autorização;11/03/2014
26/05/2025;22/04/2025;31498;PCH.PH.SC.031498-6.1;SC;Hídrica;PCH;Campo Belo;12000; 100% para CAMPO BELO ENERGETICA S.A. (PIE);Subestação;Itararé;138;CELESC DISTRIBUICAO S.A;8,33678E+12;Alta;Em andamento;;20/06/2024;20/06/2024;01/07/2024;30/10/2024;01/10/2024;06/12/2024;01/11/2024;11/12/2024;01/08/2024;27/01/2025;01/05/2025;;;;01/10/2025;;;01/05/2025;;30/09/2025;;Estágio das obras da usina;ACR;Sistema Interligado Nacional;;Normal;03/04/2025;;;02/12/2009;02/12/2011;Vencida;02/08/2021;02/08/2027;Válida;;01/10/2025;31/10/2025;;;Não Solicitada;Solicitado;03/10/2023;;Não Assinado;;;Não se Aplica;;;Não Assinado;;;Não se Aplica;;;Resolução;4.662;ANEEL;Autorização;13/05/2014
26/05/2025;22/04/2025;31668;PCH.PH.MG.031668-7.1;MG;Hídrica;PCH;Antônio Dias (Antiga Água Limpa);23000; 100% para AGUA LIMPA ENERGIA S.A. (PIE);Subestação;Coronel Fabriciano;69;CEMIG DISTRIBUICAO S.A;6,98118E+12;Baixa;Não Iniciada;;;;;;;;;;;;;;;;;;;;;;;Nenhuma licença ambiental válida;Fora ACR;Sistema Interligado Nacional;;Atrasado;01/04/2025;;;;;Solicitada;;;Solicitada;;27/06/2025;27/06/2025;;;Não Solicitada;Não se Aplica;;;Não se Aplica;;;Não se Aplica;;;Não se Aplica;;;Não se Aplica;;;Portaria;346;MME;Autorização;17/07/2014
26/05/2025;22/04/2025;31905;UTE.AI.GO.031905-8.1;GO;Biomassa;UTE;Rio Claro de Goiás;38250; 100% para Eber Bioenergia e Agricultura Ltda (PIE);Subestação;Montes Clarios;138;EQUATORIAL GOIAS DISTRIBUIDORA DE ENERGIA S/A;1,54303E+12;Alta;Em andamento;;;;;13/05/2014;;13/05/2014;;;;;;15/03/2017;;;;;15/12/2020;;13/05/2014;;;Estágio das obras da usina;Fora ACR;Sistema Interligado Nacional;;Atrasado;04/04/2025;;;02/01/2017;29/12/2021;Válida;08/05/2015;08/05/2021;Válida;02/07/2019;31/08/2020;27/11/2020;;;Solicitada renovação;Não Solicitado;;;Não se Aplica;;;Não Assinado;;;Não se Aplica;;;Não Assinado;;;Resolução;4.945;ANEEL;Autorização;25/11/2014
26/05/2025;22/04/2025;32076;UFV.RS.CE.032076-5.1;CE;Solar;UFV;RES Moreira I;44625; 100% para Russas Energia Solar SPE Ltda. (PIE);Subestação;Russas II;230;COMPANHIA HIDRO ELETRICA DO SAO FRANCISCO;3,35414E+13;Média;Não Iniciada;30/08/2025;;;;;;;;;;;;;;;;;;;;;;Acesso a rede contratado - CUST/CUSD;Fora ACR;Sistema Interligado Nacional;;Normal;05/04/2025;S;Complexo FV RES Moreira;14/04/2015;11/11/2016;Vencida;17/01/2022;23/09/2027;Válida;30/09/2016;;;17/01/2022;23/09/2027;Válida;Válido;05/09/2023;26/12/2022;Não se Aplica;;;Válido;24/05/2056;31/03/2023;Não se Aplica;;;Válido;24/05/2056;09/03/2023;Resolução;11.956;ANEEL;Autorização;31/05/2022
26/05/2025;22/04/2025;32077;UFV.RS.CE.032077-3.1;CE;Solar;UFV;RES Moreira II;44625; 100% para Russas Energia Solar SPE Ltda. (PIE);Subestação;Russas II;230;COMPANHIA HIDRO ELETRICA DO SAO FRANCISCO;3,35414E+13;Média;Não Iniciada;30/08/2025;;;;;;;;;;;;;;;;;;;;;;Acesso a rede contratado - CUST/CUSD;Fora ACR;Sistema Interligado Nacional;;Normal;05/04/2025;S;Complexo FV RES Moreira;14/04/2015;11/11/2016;Vencida;17/01/2022;23/09/2027;Válida;30/09/2016;;;17/01/2022;23/09/2027;Válida;Válido;05/09/2023;26/12/2022;Não se Aplica;;;Válido;24/05/2056;31/03/2023;Não se Aplica;;;Válido;24/05/2056;09/03/2023;Resolução;11.957;ANEEL;Autorização;31/05/2022
26/05/2025;22/04/2025;32078;UFV.RS.CE.032078-1.1;CE;Solar;UFV;RES Moreira III;44625; 100% para Russas Energia Solar SPE Ltda. (PIE);Subestação;Russas II;230;COMPANHIA HIDRO ELETRICA DO SAO FRANCISCO;3,35414E+13;Média;Não Iniciada;30/08/2025;;;;;;;;;;;;;;;;;;;;;;Acesso a rede contratado - CUST/CUSD;Fora ACR;Sistema Interligado Nacional;;Normal;05/04/2025;S;Complexo FV RES Moreira;14/04/2015;11/11/2016;Vencida;17/01/2022;23/09/2027;Válida;30/09/2016;;;17/01/2022;23/09/2027;Válida;Válido;05/09/2023;26/12/2022;Não se Aplica;;;Válido;24/05/2056;31/03/2023;Não se Aplica;;;Válido;24/05/2056;09/03/2023;Resolução;11.958;ANEEL;Autorização;31/05/2022
26/05/2025;22/04/2025;32079;UFV.RS.CE.032079-0.1;CE;Solar;UFV;RES Moreira IV;47600; 100% para Russas Energia Solar SPE Ltda. (PIE);Subestação;Russas II;230;COMPANHIA HIDRO ELETRICA DO SAO FRANCISCO;3,35414E+13;Média;Não Iniciada;30/08/2025;;;;;;;;;;;;;;;;;;;;;;Acesso a rede contratado - CUST/CUSD;Fora ACR;Sistema Interligado Nacional;;Normal;05/04/2025;S;Complexo FV RES Moreira;14/04/2015;11/11/2016;Vencida;17/01/2022;23/09/2027;Válida;30/09/2016;;;17/01/2022;23/09/2027;Válida;Válido;05/09/2023;26/12/2022;Não se Aplica;;;Válido;24/05/2056;31/03/2023;Não se Aplica;;;Válido;24/05/2056;09/03/2023;Resolução;11.959;ANEEL;Autorização;31/05/2022
26/05/2025;22/04/2025;32102;EOL.CV.BA.032102-8.1;BA;Eólica;EOL;Imburana Macho;16200; 100% para CENTRAIS EOLICAS IMBURANA MACHO S.A. (PIE);Subestação;Igaporã III;500;COMPANHIA HIDRO ELETRICA DO SAO FRANCISCO;3,35414E+13;Baixa;Paralisada;;;;;05/12/2014;28/04/2015;15/03/2015;09/06/2015;15/04/2015;;;06/07/2015;15/10/2015;;;;;;;05/02/2015;;07/10/2022;Paralisação de obras;Fora ACR;Sistema Interligado Nacional;;Atrasado;02/04/2025;S;Complexo Eólico Alto Sertão III;01/09/2018;01/09/2023;Válida;25/05/2021;25/05/2023;Válida;01/11/2021;31/08/2022;31/08/2022;30/08/2022;30/08/2027;Válida;Válido;10/09/2021;02/02/2022;Não se Aplica;;;Válido;17/03/2045;28/12/2017;Não se Aplica;;;Válido;17/03/2045;12/08/2016;Resolução;5.085;ANEEL;Autorização;17/03/2015
26/05/2025;22/04/2025;32145;EOL.CV.RS.032145-1.1;RS;Eólica;EOL;Chicolomã;27800; 100% para LAGOA DOS BARROS ENERGÉTICA LTDA (PIE);Subestação;outro;0;;;Média;Não Iniciada;16/11/2025;;;;;;;;;;;;;;;;;;;;;;Sem RAPEEL;Fora ACR;Sistema Interligado Nacional;;Normal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Resolução;13.080;ANEEL;Autorização;16/11/2022
26/05/2025;22/04/2025;32196;EOL.CV.RN.032196-6.1;RN;Eólica;EOL;AW Nova Arizona;21000; 100% para EOLICA DO AGRESTE POTIGUAR VI S.A. (PIE);Seccionamento;João Câmara III – Monte Verde (futura);500;ARGO VI TRANSMISSAO DE ENERGIA S.A;2,05146E+13;Média;Não Iniciada;19/03/2026;;;;;;;;;;;;;;;;;;;;;;Acesso a rede não contratado - CUST/CUSD;Fora ACR;Sistema Interligado Nacional;;Normal;01/04/2025;N;;04/05/2015;26/02/2017;Vencida;09/09/2022;09/09/2026;Válida;;11/08/2026;11/08/2026;;;Não Solicitada;Válido;06/02/2023;06/02/2023;Não se Aplica;;;Não se Aplica;;;Não se Aplica;;;Não se Aplica;;;Resolução;12.761;ANEEL;Autorização;27/09/2022
26/05/2025;22/04/2025;32199;EOL.CV.RN.032199-0.1;RN;Eólica;EOL;AW Olho D’Água I;25200; 100% para EOLICA DO AGRESTE POTIGUAR IV S.A. (PIE);Seccionamento;João Câmara III – Monte Verde (futura);500;ARGO VI TRANSMISSAO DE ENERGIA S.A;2,05146E+13;Média;Não Iniciada;01/12/2026;;;;;;;;;;;;;;;;;;;;;;Acesso a rede não contratado - CUST/CUSD;Fora ACR;Sistema Interligado Nacional;;Normal;01/04/2025;N;;04/05/2015;26/02/2017;Vencida;09/09/2022;09/09/2026;Válida;;11/08/2026;11/08/2026;27/01/2023;27/01/2019;Não Solicitada;Válido;06/02/2023;06/02/2023;Não se Aplica;;;Não se Aplica;;;Não se Aplica;;;Não se Aplica;;;Resolução;12.762;ANEEL;Autorização;27/09/2022
26/05/2025;22/04/2025;32201;EOL.CV.RN.032201-6.1;RN;Eólica;EOL;AW Cruzeiro;37800; 100% para EOLICA DO AGRESTE POTIGUAR VII S.A. (PIE);Seccionamento;João Câmara III – Monte Verde (futura);500;ARGO VI TRANSMISSAO DE ENERGIA S.A;2,05146E+13;Média;Não Iniciada;27/09/2026;;;;;;;;;;;;;;;;;;;;;;Acesso a rede não contratado - CUST/CUSD;Fora ACR;Sistema Interligado Nacional;;Normal;01/04/2025;N;;04/05/2015;26/02/2017;Vencida;06/09/2022;06/09/2026;Válida;;11/08/2026;30/08/2026;;;Não Solicitada;Válido;06/02/2023;06/02/2023;Não se Aplica;;;Não se Aplica;;;Não se Aplica;;;Não se Aplica;;;Resolução;12.760;ANEEL;Autorização;27/09/2022
26/05/2025;22/04/2025;32236;EOL.CV.RS.032236-9.1;RS;Eólica;EOL;Coxilha Negra 2;100800; 100% para COMPANHIA DE GERACAO E TRANSMISSAO DE ENERGIA ELETRICA DO SUL DO BRASIL - ELETROBRAS CGT ELETROSUL (PIE);Subestação;Livramento 3;230;SANT'ANA TRANSMISSORA DE ENERGIA ELETRICA S.A;3,26806E+13;Alta;Em andamento;;;;;07/03/2023;;02/04/2023;;17/04/2023;;;;28/12/2023;;23/04/2024;;;28/12/2023;;02/04/2023;;01/02/2024;Estágio das obras da usina;Fora ACR;Sistema Interligado Nacional;;Normal;08/04/2025;N;;08/03/2012;08/03/2017;Vencida;08/07/2022;08/07/2028;Válida;01/11/2023;01/08/2024;01/09/2024;19/03/2024;19/03/2034;Válida;Válido;29/08/2022;02/01/2023;Não se Aplica;;;Válido;23/08/2057;21/06/2023;Não se Aplica;;;Válido;29/08/2057;24/02/2023;Resolução;12.494;ANEEL;Autorização;23/08/2022
26/05/2025;22/04/2025;32264;PCH.PH.SC.032264-4.1;SC;Hídrica;PCH;Rio Natal I;8480; 100% para USINA RIO VERMELHO DE ENERGIA LTDA. (PIE);Subestação;São Bento Brasília;138;CELESC DISTRIBUICAO S.A;8,33678E+12;Baixa;Não Iniciada;;;;;15/09/2023;;;;;;;;;;;;;;;;;;Paralisação de obras;Fora ACR;Sistema Interligado Nacional;;Atrasado;04/04/2025;;;18/08/2022;18/07/2027;Válida;14/12/2022;14/11/2028;Válida;;01/10/2027;01/12/2027;;;Não Solicitada;Vencido;01/02/2022;01/02/2022;Vencido;01/08/2024;08/06/2022;Não se Aplica;;;Vencido;01/08/2024;08/06/2022;Não se Aplica;;;Resolução;5.137;ANEEL;Autorização;31/03/2015
26/05/2025;22/04/2025;32280;EOL.CV.RN.032280-6.1;RN;Eólica;EOL;Paraíso Farol II;13500; 100% para CENTRAL EÓLICA PARAÍSO FAROL II SPE S.A. (PIE);Subestação;João Câmara II;230;COMPANHIA HIDRO ELETRICA DO SAO FRANCISCO;3,35414E+13;Média;Não Iniciada;09/07/2025;;;;28/03/2025;;;;;;;;;;;;;;;;;;Acesso a rede contratado - CUST/CUSD;Fora ACR;Sistema Interligado Nacional;;Normal;03/04/2025;S;Paraíso Farol;19/05/2020;19/05/2022;Vencida;14/11/2024;29/10/2025;Válida;;15/04/2025;29/04/2025;;;Não Solicitada;Válido;20/09/2022;01/02/2023;Não se Aplica;;;Válido;10/09/2054;10/09/2024;Não se Aplica;;;Válido;06/05/2034;15/04/2024;Resolução;12.690;ANEEL;Autorização;20/09/2022
26/05/2025;22/04/2025;32281;EOL.CV.RN.032281-4.1;RN;Eólica;EOL;Paraíso Farol III;31500; 100% para CENTRAL EÓLICA PARAÍSO FAROL III SPE S.A. (PIE);Subestação;João Câmara II;230;COMPANHIA HIDRO ELETRICA DO SAO FRANCISCO;3,35414E+13;Média;Não Iniciada;18/05/2025;;;;28/03/2025;;;;;;;;;;;;;;;;;;Acesso a rede contratado - CUST/CUSD;Fora ACR;Sistema Interligado Nacional;;Normal;03/04/2025;N;;19/05/2020;19/05/2022;Vencida;14/11/2024;29/10/2025;Válida;;15/04/2025;29/04/2025;;;Não Solicitada;Válido;20/09/2022;01/02/2023;Não se Aplica;;;Válido;10/09/2054;10/09/2024;Não se Aplica;;;Válido;06/05/2034;15/04/2024;Resolução;12.758;ANEEL;Autorização;20/09/2022
26/05/2025;22/04/2025;32305;PCH.PH.SC.032305-5.1;SC;Hídrica;PCH;Rabo do Macaco;5700; 100% para USINA RIO VERMELHO DE ENERGIA LTDA. (PIE);Subestação;São Bento Brasília;138;;;Alta;Em andamento;;;;;01/01/2019;17/10/2017;15/03/2019;07/08/2018;;20/03/2018;16/03/2020;11/12/2018;;;;01/10/2019;;;07/08/2018;;;;Estágio das obras da usina;Fora ACR;Sistema Interligado Nacional;;Atrasado;04/04/2025;;;07/02/2014;23/01/2015;Vencida;01/03/2023;01/02/2029;Válida;;01/10/2027;01/12/2027;;;Não Solicitada;Válido;10/10/2019;21/02/2022;Válido;06/06/2025;07/06/2022;Não se Aplica;;;Válido;07/06/2025;08/06/2022;Não se Aplica;;;Resolução;5.136;ANEEL;Autorização;31/03/2015
26/05/2025;22/04/2025;32398;EOL.CV.CE.032398-5.1;CE;Eólica;EOL;Ventos de Icapui;21000; 100% para Central Eólica Icapuí S.A. (PIE);Subestação;Mossoró IV;69;COMPANHIA HIDRO ELETRICA DO SAO FRANCISCO;3,35414E+13;Média;Não Iniciada;15/09/2025;;;;;;;;;;;;;;;;;;;;;;Acesso a rede não contratado - CUST/CUSD;Fora ACR;Sistema Interligado Nacional;;Normal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Resolução;8.952;ANEEL;Autorização;17/06/2020
26/05/2025;22/04/2025;32401;EOL.CV.CE.032401-9.1;CE;Eólica;EOL;São Felício;24000; 100% para Central Eólica São Felício S.A. (PIE);Subestação;Mossoró IV;69;COMPANHIA HIDRO ELETRICA DO SAO FRANCISCO;3,35414E+13;Média;Não Iniciada;15/09/2025;;;;;;;;;;;;;;;;;;;;;;Acesso a rede não contratado - CUST/CUSD;Fora ACR;Sistema Interligado Nacional;;Normal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Resolução;8.953;ANEEL;Autorização;17/06/2020
26/05/2025;22/04/2025;32433;EOL.CV.PB.032433-7.1;PB;Eólica;EOL;Picuí 1;27000; 100% para EOLICA PICUI 1 - GERADORA DE ENERGIA LTDA (PIE);Outros;Não definida na outorga;0;;;Média;Não Iniciada;30/07/2030;;;;;;;;;;;;;;;;;;;;;;Acesso a rede não contratado - CUST/CUSD;Fora ACR;Sistema Interligado Nacional;;Normal;04/04/2025;N;;24/03/2022;24/03/2022;Válida;05/06/2024;05/06/2026;Válida;;01/07/2025;31/07/2025;;;Não Solicitada;Não Solicitado;;;Não se Aplica;;;Não Assinado;;;Não se Aplica;;;Não Assinado;;;Despacho;2.250;ANEEL;Autorização;02/08/2024
26/05/2025;22/04/2025;32435;EOL.CV.PB.032435-3.1;PB;Eólica;EOL;Picuí 4;49500; 100% para EOLICA PICUI 4 - GERADORA DE ENERGIA LTDA (PIE);Outros;Não definida na outorga;0;;;Média;Não Iniciada;30/07/2030;;;;;;;;;;;;;;;;;;;;;;Acesso a rede não contratado - CUST/CUSD;Fora ACR;Sistema Interligado Nacional;;Normal;04/04/2025;N;;24/03/2021;24/03/2022;Válida;27/06/2024;27/06/2026;Válida;;01/07/2025;31/07/2025;;;Não Solicitada;Não Solicitado;;;Não se Aplica;;;Não Assinado;;;Não se Aplica;;;Não Assinado;;;Despacho;2.251;ANEEL;Autorização;02/08/2024
26/05/2025;22/04/2025;32438;EOL.CV.PB.032438-8.1;PB;Eólica;EOL;Picuí 6;45000; 100% para EOLICA PICUI 6 - GERADORA DE ENERGIA LTDA (PIE);Outros;Não definida na outorga;0;;;Média;Não Iniciada;30/07/2030;;;;;;;;;;;;;;;;;;;;;;Acesso a rede não contratado - CUST/CUSD;Fora ACR;Sistema Interligado Nacional;;Normal;04/04/2025;N;;24/03/2021;24/03/2022;Válida;27/06/2024;27/06/2026;Válida;;01/07/2025;31/07/2025;;;Não Solicitada;Não Solicitado;;;Não se Aplica;;;Não Assinado;;;Não se Aplica;;;Não Assinado;;;Despacho;2.252;ANEEL;Autorização;02/08/2024
26/05/2025;22/04/2025;32439;EOL.CV.PB.032439-6.1;PB;Eólica;EOL;Picuí 7;49500; 100% para EOLICA PICUI 7 - GERADORA DE ENERGIA LTDA (PIE);Outros;Não definida na outorga;0;;;Média;Não Iniciada;30/07/2030;;;;;;;;;;;;;;;;;;;;;;Acesso a rede não contratado - CUST/CUSD;Fora ACR;Sistema Interligado Nacional;;Normal;04/04/2025;N;;24/03/2021;24/03/2022;Válida;15/08/2024;15/08/2026;Válida;;01/07/2025;31/07/2025;;;Não Solicitada;Não Solicitado;;;Não se Aplica;;;Não Assinado;;;Não se Aplica;;;Não Assinado;;;Despacho;2.253;ANEEL;Autorização;02/08/2024
26/05/2025;22/04/2025;32473;EOL.CV.RS.032473-6.1;RS;Eólica;EOL;Lagoa dos Barros I;22240; 100% para LAGOA DOS BARROS ENERGÉTICA LTDA (PIE);Subestação;outro;0;;;Média;Não Iniciada;16/11/2025;;;;;;;;;;;;;;;;;;;;;;Sem RAPEEL;Fora ACR;Sistema Interligado Nacional;;Normal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Resolução;13.081;ANEEL;Autorização;16/11/2022
26/05/2025;22/04/2025;32474;EOL.CV.RS.032474-4.1;RS;Eólica;EOL;Lagoa dos Barros II;22240; 100% para LAGOA DOS BARROS ENERGÉTICA LTDA (PIE);Subestação;outro;0;;;Média;Não Iniciada;16/11/2025;;;;;;;;;;;;;;;;;;;;;;Sem RAPEEL;Fora ACR;Sistema Interligado Nacional;;Normal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Resolução;13.082;ANEEL;Autorização;16/11/2022
26/05/2025;22/04/2025;32481;EOL.CV.CE.032481-7.1;CE;Eólica;EOL;Kairós Wind 4 (Antiga Mutamba II);22500; 100% para KAIRÓS WIND 3 ENERGIA S/A (PIE);Subestação;Santa Luzia II;500;NEOENERGIA SANTA LUZIA TRANSMISSAO DE ENERGIA S.A.;2,84436E+13;Média;Não Iniciada;15/05/2025;;;;01/08/2022;;;;;;;;;;;;;;;28/02/2023;;;Compromisso de venda de energia - PPA;Fora ACR;Sistema Interligado Nacional;;Normal;09/04/2025;S;Complexo Eólico Kairós (Antigo Mutamba);24/02/2016;09/02/2019;Vencida;25/02/2022;03/11/2025;Válida;;04/08/2025;03/09/2025;;;Não Solicitada;Não Solicitado;;;Não se Aplica;;;Não Assinado;;;Não se Aplica;;;Não Assinado;;;Resolução;11.048;ANEEL;Autorização;01/02/2022
26/05/2025;22/04/2025;32482;EOL.CV.CE.032482-5.1;CE;Eólica;EOL;Mutamba III;38500; 100% para KAIRÓS WIND 5 ENERGIA S.A. (PIE);Subestação;Mossoró IV;230;COMPANHIA HIDRO ELETRICA DO SAO FRANCISCO;3,35414E+13;Média;Não Iniciada;15/05/2025;;;;01/08/2022;;;;;;;;;;;;;;;28/02/2023;;;Compromisso de venda de energia - PPA;Fora ACR;Sistema Interligado Nacional;;Atrasado;09/04/2025;S;Complexo Eólico Kairós (Antigo Mutamba);24/02/2016;09/02/2019;Vencida;25/02/2022;03/11/2025;Válida;;04/08/2025;03/09/2025;;;Não Solicitada;Não Solicitado;;;Não se Aplica;;;Não Assinado;;;Não se Aplica;;;Não Assinado;;;Resolução;11.049;ANEEL;Autorização;01/02/2022
26/05/2025;22/04/2025;32483;EOL.CV.CE.032483-3.1;CE;Eólica;EOL;Mutamba IV;33000; 100% para KAIRÓS WIND 5 ENERGIA S.A. (PIE);Subestação;Mossoró IV;230;COMPANHIA HIDRO ELETRICA DO SAO FRANCISCO;3,35414E+13;Média;Não Iniciada;15/05/2025;;;;01/08/2022;;;;;;;;;;;;;;;28/02/2023;;;Compromisso de venda de energia - PPA;Fora ACR;Sistema Interligado Nacional;;Atrasado;09/04/2025;S;Complexo Eólico Kairós (Antigo Mutamba);24/02/2016;09/02/2019;Vencida;25/02/2022;03/11/2025;Válida;;04/08/2025;03/09/2025;;;Não Solicitada;Não Solicitado;;;Não se Aplica;;;Não Assinado;;;Não se Aplica;;;Não Assinado;;;Resolução;11.050;ANEEL;Autorização;01/02/2022
26/05/2025;22/04/2025;32484;EOL.CV.CE.032484-1.1;CE;Eólica;EOL;Kairós Wind 8 (Antiga Mutamba V);22500; 100% para KAIRÓS WIND 4 ENERGIA S.A. (PIE);Subestação;Mossoró IV;230;COMPANHIA HIDRO ELETRICA DO SAO FRANCISCO;3,35414E+13;Média;Não Iniciada;15/05/2025;;;;01/08/2022;;;;;;;;;;;;;;;28/02/2023;;;Compromisso de venda de energia - PPA;Fora ACR;Sistema Interligado Nacional;;Normal;09/04/2025;S;Complexo Eólico Kairós (Antigo Mutamba);24/02/2016;09/02/2019;Vencida;25/02/2022;03/11/2025;Válida;;04/08/2025;03/09/2025;;;Não Solicitada;Não Solicitado;;;Não se Aplica;;;Não Assinado;;;Não se Aplica;;;Não Assinado;;;Resolução;11.051;ANEEL;Autorização;01/02/2022
26/05/2025;22/04/2025;32486;EOL.CV.CE.032486-8.1;CE;Eólica;EOL;Kairós Wind 9 (Antiga Mutamba VII);18000; 100% para KAIRÓS WIND 4 ENERGIA S.A. (PIE);Subestação;Mossoró IV;230;COMPANHIA HIDRO ELETRICA DO SAO FRANCISCO;3,35414E+13;Média;Não Iniciada;15/05/2025;;;;01/08/2022;;;;;;;;;;;;;;;28/02/2023;;;Compromisso de venda de energia - PPA;Fora ACR;Sistema Interligado Nacional;;Atrasado;09/04/2025;N;;24/02/2016;09/02/2019;Vencida;25/02/2022;03/11/2025;Válida;;04/08/2025;03/09/2025;;;Não Solicitada;Não Solicitado;;;Não se Aplica;;;Não Assinado;;;Não se Aplica;;;Não Assinado;;;Resolução;11.053;ANEEL;Autorização;01/02/2022
26/05/2025;22/04/2025;32570;EOL.CV.BA.032570-8.1;BA;Eólica;EOL;Tucano V;22800; 100% para TUCANO F5 GERACAO DE ENERGIAS LTDA (PIE);Subestação;Olindina;500;COMPANHIA HIDRO ELETRICA DO SAO FRANCISCO;3,35414E+13;Baixa;Não Iniciada;;;;;15/05/2022;;;;;;;;;;;;;;;10/07/2021;;;Revogação da outorga em avaliação;Fora ACR;Sistema Interligado Nacional;;Normal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Resolução;8.820;ANEEL;Autorização;19/05/2020
26/05/2025;22/04/2025;32583;EOL.CV.BA.032583-0.1;BA;Eólica;EOL;Tucano IX;45600; 100% para TUCANO F9 GERACAO DE ENERGIAS SPE S.A (PIE);Subestação;Olindina;500;COMPANHIA HIDRO ELETRICA DO SAO FRANCISCO;3,35414E+13;Baixa;Não Iniciada;;;;26/10/2021;;;;;;;;;;;;;;;;10/05/2021;;;Revogação da outorga em avaliação;Fora ACR;Sistema Interligado Nacional;;Normal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Resolução;8.824;ANEEL;Autorização;19/05/2020
